# t	M_D	M_d	R_out	R_C	R_68	R_95	M_acc
# yr	g	g	AU	AU	AU	AU	Msun/yr
1.819700000000000000e+05	9.827569710899467456e+31	6.846099466407930444e+29	1.578904996478066096e+03	1.537532302459885614e+02	2.305635053390811038e+02	5.113276016012276841e+02	3.276170777608924869e-09
1.905460000000000000e+05	9.822015565738356304e+31	6.748295093223370506e+29	1.580492299626017484e+03	1.539266279341333643e+02	2.323863310713882697e+02	5.140404062840398183e+02	3.272090645401062964e-09
1.995259999999999709e+05	9.816207452221435564e+31	6.649861654677663998e+29	1.582080400246146837e+03	1.541083321510625694e+02	2.348279299916214313e+02	5.167603882164529523e+02	3.267648322824685663e-09
2.089290000000000291e+05	9.810134497259104092e+31	6.550753205680366672e+29	1.583669298338453927e+03	1.542987223268981154e+02	2.372822884667004075e+02	5.185776968656177814e+02	3.262747087434559912e-09
2.187760000000000000e+05	9.803784665646932121e+31	6.450916507802103083e+29	1.585258993902938300e+03	1.544982189011067248e+02	2.403681796845513077e+02	5.213096408806986801e+02	3.257527421370137938e-09
2.290860000000000000e+05	9.797147341837763276e+31	6.350338528272647112e+29	1.586849486939601320e+03	1.547072034741893276e+02	2.428512471580338001e+02	5.240487621453805787e+02	3.251932183697577730e-09
2.398830000000000000e+05	9.790208861465891288e+31	6.248973435134760234e+29	1.588440777448442077e+03	1.549261614324453262e+02	2.453470741863621356e+02	5.267950606596634771e+02	3.245978726970459611e-09
2.511880000000000291e+05	9.782957677255821370e+31	6.146815715149545132e+29	1.590032865429460799e+03	1.551555172342484639e+02	2.478556607695365130e+02	5.295485364235471479e+02	3.239663194440185485e-09
2.630260000000000000e+05	9.775379875137977084e+31	6.043836742487340425e+29	1.591625750882657258e+03	1.553957775024957186e+02	2.510093371225065368e+02	5.323091894370315913e+02	3.232976284657141527e-09
2.754220000000000000e+05	9.767461764132053701e+31	5.940023516493878473e+29	1.593219433808030999e+03	1.556474499483747707e+02	2.535466327040843169e+02	5.350770197001169208e+02	3.225950002802403968e-09
2.884030000000000000e+05	9.759188630203636813e+31	5.835358107971563058e+29	1.596409192075313513e+03	1.559113914694094376e+02	2.567361953050585726e+02	5.378520272128031365e+02	3.218476460388391680e-09
3.019950000000000000e+05	9.750546670270414043e+31	5.729838419179677845e+29	1.598005267417221376e+03	1.561875237738312592e+02	2.599456947104795859e+02	5.406342119750900110e+02	3.210633721681947009e-09
3.162270000000000000e+05	9.741520477712775987e+31	5.623441928021979206e+29	1.601199810517570540e+03	1.564770591904600963e+02	2.631751309203474420e+02	5.434235739869779991e+02	3.202375149619923292e-09
3.311310000000000000e+05	9.732093113997655968e+31	5.516107337534167157e+29	1.602798278276012070e+03	1.567800328102822789e+02	2.664245039346621979e+02	5.471538879466520484e+02	3.193657133297533330e-09
3.467360000000000582e+05	9.722249983005331581e+31	5.407739959540266570e+29	1.605997606209429023e+03	1.570976719528279091e+02	2.696938137534236262e+02	5.499599968742752480e+02	3.184458901970525003e-09
3.630779999999999418e+05	9.711972641917412427e+31	5.298051864250584862e+29	1.607598466384404219e+03	1.574300473674984744e+02	2.729830603766318973e+02	5.527732830514992202e+02	3.174704793279997201e-09
3.801890000000000000e+05	9.701245478651497448e+31	5.186700635386928392e+29	1.610802579150887823e+03	1.577783518895243731e+02	2.769564729063515642e+02	5.565354958982881044e+02	3.164568874244532654e-09
3.981070000000000000e+05	9.690048484087376315e+31	5.073839238325669253e+29	1.614009881806083285e+03	1.581429121655377799e+02	2.802895804993427760e+02	5.593655289912474018e+02	3.154394597358088645e-09
4.168690000000000000e+05	9.678361581138143427e+31	4.960764391003724166e+29	1.617220374349990379e+03	1.585245151245275110e+02	2.843156261928020285e+02	5.631500710590167955e+02	3.144268133445706541e-09
4.365150000000000000e+05	9.666163839689471667e+31	4.849328574733578057e+29	1.620434056782608423e+03	1.589242112902565793e+02	2.883703808846644847e+02	5.659968510677114182e+02	3.133756135789622053e-09
4.570880000000000000e+05	9.653435229034866268e+31	4.740470501152739238e+29	1.623650929103938324e+03	1.593431235993271571e+02	2.917712736127749054e+02	5.698037223564610940e+02	3.122217657196136398e-09
4.786300000000000000e+05	9.640158792689323366e+31	4.633399213394968983e+29	1.626870991313979857e+03	1.597821451426385977e+02	2.958786614683770040e+02	5.726672492808910420e+02	3.109527139593925655e-09
5.011870000000000000e+05	9.626315494653675916e+31	4.526325842076621030e+29	1.630094243412732339e+03	1.602420341438234743e+02	3.000147583223825336e+02	5.755379534549218761e+02	3.095995542327146555e-09
5.248070000000000000e+05	9.611883966922235142e+31	4.417987004605872519e+29	1.634935102602195911e+03	1.607239324848541173e+02	3.041795641747914942e+02	5.793767236307866142e+02	3.082129623816610879e-09
5.495400000000000000e+05	9.596841144100502812e+31	4.308273090148825916e+29	1.638166329422727131e+03	1.612280918704255441e+02	3.083730790256038290e+02	5.822641747205525462e+02	3.067917632746543498e-09
5.754390000000000000e+05	9.581163074873566339e+31	4.197637100079168722e+29	1.643019150694858581e+03	1.617563617000948000e+02	3.125953028748194242e+02	5.851588030599197054e+02	3.053249159131315971e-09
6.025590000000000000e+05	9.564826139654201930e+31	4.086451715922112399e+29	1.646258352237168538e+03	1.623091746407318112e+02	3.168462357224385073e+02	5.890294721228990511e+02	3.037971174695399391e-09
6.309570000000000000e+05	9.547806725072444705e+31	3.974942456401498497e+29	1.651123135591968321e+03	1.628884318821241948e+02	3.218419423620873658e+02	5.919408473780013082e+02	3.022124425188796600e-09
6.606930000000000000e+05	9.530080454499680663e+31	3.863394081481743587e+29	1.655995096196368195e+03	1.634950242120456778e+02	3.261550780395804736e+02	5.948593998827044516e+02	3.005633509430157151e-09
6.918300000000000000e+05	9.511622658454109744e+31	3.751875795428801352e+29	1.660874234050369751e+03	1.641302257336284924e+02	3.312233546474155332e+02	5.977851296370084810e+02	2.988496756385195298e-09
